timestamp,machine_name,temperature,pressure,vibration,humidity,power_consumption,operational_status,error_code,production_count,maintenance_log,speed
1/04/2024 0:00,CNC Machine,45.47,7.69,1.86,33.17,270.22,active,,66,,4.27
1/04/2024 0:00,3D Printer,71.18,3.16,0.24,36.76,330.36,active,,96,,3.35
1/04/2024 0:00,Industrial Robot,61.09,6.81,4.83,62.59,460.07,maintenance,E303,73,Part Replacement,3.41
1/04/2024 0:00,Automated Guided Vehicle (AGV),33.71,4.13,1.15,34.09,171.69,active,,99,,
1/04/2024 0:00,Smart Conveyor System,24.48,8.37,0.76,54.26,170.14,active,,4,,1.11
1/04/2024 0:00,IoT Sensor Hub,40.93,4.97,0.49,54.51,464.51,active,,21,,
1/04/2024 0:00,Predictive Maintenance System,26.04,9.4,0.28,68.58,233.56,idle,,24,,
1/04/2024 0:00,Automated Assembly Line,41.89,3.85,3.29,66.15,236.15,active,,74,,
1/04/2024 0:00,Quality Control Scanner,74.66,3.22,4.27,67.8,139.24,maintenance,E303,8,Part Replacement,
1/04/2024 0:00,Energy Management System,50.62,6.21,2.32,34.8,330.92,active,,77,,
1/04/2024 0:30,CNC Machine,36.58,5.23,0.55,45.31,493.18,active,,41,,2.48
1/04/2024 0:30,3D Printer,77.49,3.37,1.72,62.91,275.05,active,,78,,2.43
1/04/2024 0:30,Industrial Robot,71.73,4.01,1.07,67.15,418.37,active,,3,,0.88
1/04/2024 0:30,Automated Guided Vehicle (AGV),24.44,4.54,4.73,40.3,368.32,active,,89,,
1/04/2024 0:30,Smart Conveyor System,53,8.04,3.35,69.03,190.64,active,,97,,2.78
1/04/2024 0:30,IoT Sensor Hub,64.42,5.66,0.41,38.42,496.32,idle,,57,,
1/04/2024 0:30,Predictive Maintenance System,69.22,6.39,0.47,61.99,134.38,active,,27,,
1/04/2024 0:30,Automated Assembly Line,28.6,1.01,1.73,30.42,474.88,active,,83,,
1/04/2024 0:30,Quality Control Scanner,68.4,4.34,4.54,33.53,162.21,active,,75,,
1/04/2024 0:30,Energy Management System,21.07,5.4,0.88,49.23,126.01,active,,80,,
1/04/2024 1:00,CNC Machine,72.44,7.79,4,47.77,148.32,active,,4,,0.68
1/04/2024 1:00,3D Printer,67.81,3.07,3.03,34.07,411.98,maintenance,E202,24,Software Update,3.22
1/04/2024 1:00,Industrial Robot,34.14,6.38,0.64,56.9,305.15,active,,70,,1.78
1/04/2024 1:00,Automated Guided Vehicle (AGV),42.57,6.75,1.72,60.24,458.33,active,,32,,
1/04/2024 1:00,Smart Conveyor System,29.5,2.9,2.24,33.93,398.46,idle,,40,,4.56
1/04/2024 1:00,IoT Sensor Hub,55.42,8.48,0.16,57.77,132.68,active,,61,,
1/04/2024 1:00,Predictive Maintenance System,71.93,5.96,3.7,52.04,286.35,maintenance,E202,77,Software Update,
1/04/2024 1:00,Automated Assembly Line,42.03,4.14,1.94,64.1,186.36,active,,50,,
1/04/2024 1:00,Quality Control Scanner,29.3,9.48,3.55,41.06,163.61,maintenance,E202,56,Software Update,
1/04/2024 1:00,Energy Management System,75.81,5.64,4.01,41.48,482.18,active,,79,,
1/04/2024 1:30,CNC Machine,39.73,8.97,0.99,32.55,435.58,idle,,29,,3.31
1/04/2024 1:30,3D Printer,49.02,9.15,0.39,60.25,189.79,active,,37,,1.31
1/04/2024 1:30,Industrial Robot,37.72,3.32,1.76,35.47,417.48,active,,77,,1.83
1/04/2024 1:30,Automated Guided Vehicle (AGV),21.55,8.12,1.52,40.02,285.25,active,,63,,
1/04/2024 1:30,Smart Conveyor System,41.62,1.37,1.2,69.65,477.07,idle,,92,,4.94
1/04/2024 1:30,IoT Sensor Hub,72.08,4.71,2.61,51.76,467.23,active,,43,,
1/04/2024 1:30,Predictive Maintenance System,37.11,6.9,3.5,39.53,448.19,idle,,17,,
1/04/2024 1:30,Automated Assembly Line,30.01,4.64,3.37,41.85,405.69,active,,65,,
1/04/2024 1:30,Quality Control Scanner,43.95,2.14,3.83,55.83,310.35,active,,23,,
1/04/2024 1:30,Energy Management System,32.05,2.72,2.61,69.1,101.85,maintenance,E404,51,Catastrophic failure,
1/04/2024 2:00,CNC Machine,48.79,5.18,3.08,57.09,319.29,active,,26,,1.81
1/04/2024 2:00,3D Printer,23.86,3.77,4.58,47.25,192.42,active,,89,,3.49
1/04/2024 2:00,Industrial Robot,30.92,1.33,3.44,69.67,234.05,active,,4,,2.74
1/04/2024 2:00,Automated Guided Vehicle (AGV),20.82,8.78,4.07,59.6,473.62,active,,16,,
1/04/2024 2:00,Smart Conveyor System,38.74,5.46,1.15,62.86,400.55,active,,3,,2.34
1/04/2024 2:00,IoT Sensor Hub,44.21,1.97,4.68,57.6,459.45,active,,71,,
1/04/2024 2:00,Predictive Maintenance System,46.97,3.38,3.87,35.98,460.7,maintenance,E101,63,Routine Check,
1/04/2024 2:00,Automated Assembly Line,20.33,6.1,2.07,30.77,209.72,active,,37,,
1/04/2024 2:00,Quality Control Scanner,34.13,5.9,4.86,52.83,325.74,active,,89,,
1/04/2024 2:00,Energy Management System,66.6,2.53,2.18,39.06,314.2,active,,37,,
1/04/2024 2:30,CNC Machine,35.24,6.04,3.88,57.94,401.34,idle,,97,,3.88
1/04/2024 2:30,3D Printer,24.08,4.38,1.26,44.39,431.62,active,,48,,2.62
1/04/2024 2:30,Industrial Robot,74.14,1.53,1.8,54.61,256.98,active,,11,,0.91
1/04/2024 2:30,Automated Guided Vehicle (AGV),70.37,9.26,0.94,36.96,371.13,active,,45,,
1/04/2024 2:30,Smart Conveyor System,30.81,5.11,0.34,36.09,290.72,active,,13,,3.15
1/04/2024 2:30,IoT Sensor Hub,33.52,4.15,3.21,39.38,475.07,active,,96,,
1/04/2024 2:30,Predictive Maintenance System,32.28,5.61,1.4,30.53,197.32,idle,,41,,
1/04/2024 2:30,Automated Assembly Line,49.94,1.16,1.61,63.63,236.84,maintenance,E303,91,Part Replacement,
1/04/2024 2:30,Quality Control Scanner,39.19,6.35,4.34,64.27,288.72,active,,12,,
1/04/2024 2:30,Energy Management System,70.93,8.2,2.8,60.95,117.23,active,,61,,
1/04/2024 3:00,CNC Machine,72.36,7.39,4.98,33.87,218.56,active,,29,,1.51
1/04/2024 3:00,3D Printer,26.11,8.43,2.3,33.83,209.79,active,,5,,1.17
1/04/2024 3:00,Industrial Robot,66.74,9.79,2.8,51.29,449.42,active,,68,,2.35
1/04/2024 3:00,Automated Guided Vehicle (AGV),32.24,2.11,1.56,46.26,189.34,active,,82,,
1/04/2024 3:00,Smart Conveyor System,61.39,4.14,3.55,43.07,180.1,idle,,70,,1.67
1/04/2024 3:00,IoT Sensor Hub,45.66,1.12,4.98,62.9,407.16,active,,28,,
1/04/2024 3:00,Predictive Maintenance System,53.11,1.79,4.67,62.32,185.67,active,,19,,
1/04/2024 3:00,Automated Assembly Line,63.31,3.47,0.84,33.11,407.98,active,,97,,
1/04/2024 3:00,Quality Control Scanner,65.68,8.91,2.49,43.53,113.5,idle,,6,,
1/04/2024 3:00,Energy Management System,77.15,8.48,0.59,38.52,427.1,active,,48,,
1/04/2024 3:30,CNC Machine,71.51,6.48,4.5,63.3,497.13,active,,98,,3.52
1/04/2024 3:30,3D Printer,57,1.41,2.5,46.82,444.46,active,,65,,3.37
1/04/2024 3:30,Industrial Robot,23.37,6.6,1.12,45.9,495.88,active,,97,,0.56
1/04/2024 3:30,Automated Guided Vehicle (AGV),55.43,2.47,1.48,68.56,440.4,active,,12,,
1/04/2024 3:30,Smart Conveyor System,67.04,5.05,4.66,63.99,186.76,idle,,91,,0.68
1/04/2024 3:30,IoT Sensor Hub,66.07,4.49,2.1,39.61,305.28,idle,,53,,
1/04/2024 3:30,Predictive Maintenance System,74.65,6.68,1.22,57.39,352.63,active,,54,,
1/04/2024 3:30,Automated Assembly Line,57.12,1.68,4.97,69.13,278.24,active,,45,,
1/04/2024 3:30,Quality Control Scanner,51.36,7.17,3,58.38,209.88,active,,10,,
1/04/2024 3:30,Energy Management System,41.39,6.18,4.78,39.22,449.9,active,,98,,
1/04/2024 4:00,CNC Machine,75.01,2.64,3.25,56.4,291.97,idle,,41,,4.25
1/04/2024 4:00,3D Printer,46.15,3.92,0.28,58.2,496.87,active,,54,,2.7
1/04/2024 4:00,Industrial Robot,24.57,1.77,0.99,49.08,220.27,active,,16,,3.4
1/04/2024 4:00,Automated Guided Vehicle (AGV),56.11,8.11,2.91,65.73,242.91,idle,,82,,
1/04/2024 4:00,Smart Conveyor System,48.41,1.56,0.6,46.22,496.7,idle,,27,,0.83
1/04/2024 4:00,IoT Sensor Hub,25.9,3.36,0.89,65.85,367.67,active,,98,,
1/04/2024 4:00,Predictive Maintenance System,22.83,6.13,4.97,32.01,209,idle,,83,,
1/04/2024 4:00,Automated Assembly Line,79.71,2.92,0.94,61.49,480.89,active,,49,,
1/04/2024 4:00,Quality Control Scanner,30.65,9.9,2.26,61.67,398.45,active,,18,,
1/04/2024 4:00,Energy Management System,57.22,2.3,2.71,32.96,193.09,active,,62,,
1/04/2024 4:30,CNC Machine,72.12,1.45,2.97,54.92,276.31,idle,,58,,3.22
1/04/2024 4:30,3D Printer,43.86,4.26,4.97,49.28,386.92,active,,58,,2.72
1/04/2024 4:30,Industrial Robot,25.73,8.33,4.31,58.04,327.39,active,,82,,0.71
1/04/2024 4:30,Automated Guided Vehicle (AGV),45.95,9.4,2.61,66.68,344.22,active,,41,,
1/04/2024 4:30,Smart Conveyor System,53.45,5.26,1.02,49.33,477.18,active,,79,,1.11
1/04/2024 4:30,IoT Sensor Hub,28.29,9.7,2.63,56.99,199.37,active,,48,,
1/04/2024 4:30,Predictive Maintenance System,27.89,9.14,4.03,53.79,163.74,active,,84,,
1/04/2024 4:30,Automated Assembly Line,34.79,5.34,0.15,48.34,467.3,active,,63,,
1/04/2024 4:30,Quality Control Scanner,37.42,7.42,2.79,34.87,209.61,active,,37,,
1/04/2024 4:30,Energy Management System,69.99,4.67,4.57,59.19,294.39,active,,38,,
1/04/2024 5:00,CNC Machine,24.8,1.75,1.08,42.91,254.97,active,,66,,4.27
1/04/2024 5:00,3D Printer,53.18,1.24,4.86,41.89,499.85,active,,60,,2.13
1/04/2024 5:00,Industrial Robot,72.23,5.09,3.69,66.62,329.19,active,,27,,3.9
1/04/2024 5:00,Automated Guided Vehicle (AGV),24.51,7.61,4.54,41.44,245.76,active,,15,,
1/04/2024 5:00,Smart Conveyor System,59.74,9.29,2.9,48.5,154.07,active,,79,,1.1
1/04/2024 5:00,IoT Sensor Hub,56.62,2.87,0.48,35.92,168.9,active,,18,,
1/04/2024 5:00,Predictive Maintenance System,44.1,9.02,2.93,51.87,375.41,active,,93,,
1/04/2024 5:00,Automated Assembly Line,44.82,5.96,2.03,51.12,379.96,active,,78,,
1/04/2024 5:00,Quality Control Scanner,54.43,2.23,4.8,61.1,307.11,active,,37,,
1/04/2024 5:00,Energy Management System,71.47,7.72,3.69,40.88,222.97,idle,,62,,
1/04/2024 5:30,CNC Machine,26.25,6.74,3.75,47.89,433.31,active,,56,,4.93
1/04/2024 5:30,3D Printer,71.08,8.8,2.07,58.5,371.45,active,,39,,2.71
1/04/2024 5:30,Industrial Robot,56.68,3.12,4.62,55.29,140.81,active,,34,,0.55
1/04/2024 5:30,Automated Guided Vehicle (AGV),42.59,6.66,4.79,44.46,312.26,idle,,92,,
1/04/2024 5:30,Smart Conveyor System,53.96,1.35,1.05,68.58,148.58,active,,39,,2.73
1/04/2024 5:30,IoT Sensor Hub,37.08,7.18,3.74,48.33,231.93,active,,91,,
1/04/2024 5:30,Predictive Maintenance System,34.4,7.01,2.12,51.13,382.22,active,,83,,
1/04/2024 5:30,Automated Assembly Line,36.38,3.28,4.41,42.81,340.01,active,,88,,
1/04/2024 5:30,Quality Control Scanner,52.56,5.57,2.27,42.12,389.86,idle,,28,,
1/04/2024 5:30,Energy Management System,41.99,9.64,0.94,53.75,400.04,active,,60,,
1/04/2024 6:00,CNC Machine,22.57,4.59,0.52,63.91,452.06,active,,27,,4.83
1/04/2024 6:00,3D Printer,20.65,7.61,4.47,46.12,179.67,active,,61,,3.26
1/04/2024 6:00,Industrial Robot,54.72,1.44,1.69,44.88,224.21,maintenance,E404,34,Catastrophic failure,2.71
1/04/2024 6:00,Automated Guided Vehicle (AGV),25.23,7.21,0.36,69.62,110.07,active,,57,,
1/04/2024 6:00,Smart Conveyor System,74.97,3.04,3.83,49.38,178.22,active,,22,,3.56
1/04/2024 6:00,IoT Sensor Hub,62.97,9.7,2.25,65.68,431.6,active,,41,,
1/04/2024 6:00,Predictive Maintenance System,72.96,5.87,2.62,33,118.53,idle,,9,,
1/04/2024 6:00,Automated Assembly Line,37.36,6.2,1.27,59.69,450.59,active,,98,,
1/04/2024 6:00,Quality Control Scanner,35.94,3.06,1.76,59.21,149.59,active,,63,,
1/04/2024 6:00,Energy Management System,72.62,1.55,3.13,47.17,399.19,active,,36,,
1/04/2024 6:30,CNC Machine,34.53,3.83,4.96,63.99,407.61,active,,39,,2.65
1/04/2024 6:30,3D Printer,69.41,1.85,3.25,31.23,467.14,active,,42,,2.52
1/04/2024 6:30,Industrial Robot,29.58,2.5,2.6,62.61,408.2,active,,23,,2.35
1/04/2024 6:30,Automated Guided Vehicle (AGV),76.02,5.79,4.94,62.62,114.21,active,,3,,
1/04/2024 6:30,Smart Conveyor System,59.23,2.35,1.55,59.7,128.43,active,,17,,2.43
1/04/2024 6:30,IoT Sensor Hub,31.17,6.33,3.1,33.52,238.93,active,,44,,
1/04/2024 6:30,Predictive Maintenance System,44.53,3.14,1.43,62.7,190.05,active,,53,,
1/04/2024 6:30,Automated Assembly Line,76.69,9.92,0.21,49.28,343.01,active,,74,,
1/04/2024 6:30,Quality Control Scanner,45.21,2.52,3.56,47.62,420.6,idle,,69,,
1/04/2024 6:30,Energy Management System,74.47,2.05,1.97,41.59,166.64,idle,,24,,
1/04/2024 7:00,CNC Machine,56.1,2.09,0.99,42.08,141.88,maintenance,E404,72,Catastrophic failure,4.2
1/04/2024 7:00,3D Printer,44.3,7.61,3.64,68.08,240.37,active,,16,,1.4
1/04/2024 7:00,Industrial Robot,63.5,8.73,2.76,30.73,262.03,active,,95,,3.8
1/04/2024 7:00,Automated Guided Vehicle (AGV),31.8,6.13,3.01,58.85,120.35,active,,21,,
1/04/2024 7:00,Smart Conveyor System,43.91,2.18,4.28,56.02,134.26,idle,,44,,3.53
1/04/2024 7:00,IoT Sensor Hub,50.47,6.65,1.64,52.32,428.49,active,,3,,
1/04/2024 7:00,Predictive Maintenance System,46.36,6.47,2.12,43.73,192.69,active,,15,,
1/04/2024 7:00,Automated Assembly Line,52.15,9.98,2.59,35.8,297.39,active,,3,,
1/04/2024 7:00,Quality Control Scanner,66.55,7.22,0.97,35.94,181.69,active,,78,,
1/04/2024 7:00,Energy Management System,26.83,1.56,2.21,66.35,486.14,active,,20,,
1/04/2024 7:30,CNC Machine,21.22,9.48,1.43,57.08,344.91,active,,80,,3.13
1/04/2024 7:30,3D Printer,66.97,8.59,0.12,58.26,452.13,active,,45,,2.43
1/04/2024 7:30,Industrial Robot,29.6,9.8,0.94,62.56,201.94,active,,1,,4.41
1/04/2024 7:30,Automated Guided Vehicle (AGV),25.17,5.19,0.99,31.71,378.85,active,,12,,
